"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"28835-85587","C","Tyler","Tyler Davis","Davis","0","0","3500","OKC@MIN","OKC","MIN","","","","",""
"28835-85586","PF","Marcus","Marcus Derrickson","Derrickson","0","0","3500","SAC@GS","GS","SAC","","","","",""
"28835-85588","SG","Markel","Markel Crawford","Crawford","0","0","3500","ATL@MEM","MEM","ATL","","","","",""
"28835-85591","SF","Marcus","Marcus Lee","Lee","0","0","3500","MIA@WAS","MIA","WAS","","","","",""
"28835-58457","SF","Devin","Devin Robinson","Robinson","11","1","3500","MIA@WAS","WAS","MIA","","","","",""
"28835-59483","PF","Chris","Chris McCullough","McCullough","5","19","3500","DET@SA","DET","SA","","","","",""
"28835-58463","PG","Tyler","Tyler Ulis","Ulis","18.001408106844192","71","3500","SAC@GS","GS","SAC","","","","",""
"28835-15975","SG","C.J.","C.J. Williams","Williams","11.913158215974507","38","3500","OKC@MIN","MIN","OKC","","","","",""
"28835-15982","SG","Reggie","Reggie Hearn","Hearn","1","3","3500","DET@SA","DET","SA","","","","",""
"28835-85106","SG","Deonte","Deonte Burton","Burton","0","0","3500","OKC@MIN","OKC","MIN","","","","",""
"28835-41082","C","Damian","Damian Jones","Jones","3.51999994913737","15","3500","SAC@GS","GS","SAC","","","","",""
"28835-58490","SG","Wade","Wade Baldwin IV","Baldwin IV","8.585714067731585","7","3500","POR@PHO","POR","PHO","","","","",""
"28835-41083","PF","Luke","Luke Kornet","Kornet","15.189999389648438","20","3500","NO@NY","NY","NO","","","","",""
"28835-23676","SG","Damyean","Damyean Dotson","Dotson","8.0522724498402","44","3500","NO@NY","NY","NO","","","","",""
"28835-66185","PF","Caleb","Caleb Swanigan","Swanigan","5.659259372287327","27","3500","POR@PHO","POR","PHO","","","","",""
"28835-58505","C","Chinanu","Chinanu Onuaku","Onuaku","7.300000190734863","1","3500","POR@PHO","POR","PHO","","","","",""
"28835-85137","SG","Duncan","Duncan Robinson","Robinson","0","0","3500","MIA@WAS","MIA","WAS","","","","",""
"28835-85140","PG","Keenan","Keenan Evans","Evans","0","0","3500","DET@SA","DET","SA","","","","",""
"28835-15510","PF","Richard","Richard Solomon","Solomon","0","0","3500","OKC@MIN","OKC","MIN","O","Knee","","",""
"28835-58519","SG","Gary","Gary Payton II","Payton II","7.66521752398947","23","3500","POR@PHO","POR","PHO","","","","",""
"28835-85150","SG","Trevon","Trevon Bluiett","Bluiett","0","0","3500","NO@NY","NO","NY","","","","",""
"28835-42661","PF","Noah","Noah Vonleh","Vonleh","14.170370596426505","54","3500","NO@NY","NY","NO","","","","",""
"28835-42662","SF","Troy","Troy Williams","Williams","13.600000290643601","21","3500","NO@NY","NO","NY","","","","",""
"28835-70825","SG","Timothe","Timothe Luwawu-Cabarrot","Luwawu-Cabarrot","9.219230651855469","52","3500","OKC@MIN","OKC","MIN","","","","",""
"28835-42665","PG","Andrew","Andrew Harrison","Harrison","19.10178484235491","56","3500","ATL@MEM","MEM","ATL","","","","",""
"28835-15532","SG","KJ","KJ McDaniels","McDaniels","8.283673344826212","49","3500","OKC@MIN","OKC","MIN","","","","",""
"28835-49336","SF","DeAndre'","DeAndre' Bembry","Bembry","13.38076899601863","26","3500","ATL@MEM","ATL","MEM","","","","",""
"28835-14524","SG","MarShon","MarShon Brooks","Brooks","32.81428527832031","7","3500","ATL@MEM","MEM","ATL","O","Illness","","",""
"28835-84668","SF","Troy","Troy Brown Jr.","Brown Jr.","0","0","3500","MIA@WAS","WAS","MIA","","","","",""
"28835-9920","PF","Anthony","Anthony Tolliver","Tolliver","15.559493052808545","79","3500","OKC@MIN","MIN","OKC","","","","",""
"28835-23744","SG","Justin","Justin Anderson","Anderson","11.450000160618833","38","3500","ATL@MEM","ATL","MEM","O","Leg","","",""
"28835-22727","SG","Ron","Ron Baker","Baker","8.810344827586206","29","3500","NO@NY","NY","NO","","","","",""
"28835-14537","SF","Chandler","Chandler Parsons","Parsons","15.208333333333334","36","3500","ATL@MEM","MEM","ATL","","","","",""
"28835-14539","PF","Jon","Jon Leuer","Leuer","11.612500190734863","8","3500","DET@SA","DET","SA","O","Knee","","",""
"28835-14540","SG","Darius","Darius Morris","Morris","0","0","3500","NO@NY","NO","NY","","","","",""
"28835-84687","SF","George","George King","King","0","0","3500","POR@PHO","PHO","POR","","","","",""
"28835-14543","SF","Davis","Davis Bertans","Bertans","11.384415267349837","77","3500","DET@SA","SA","DET","","","","",""
"28835-84686","PG","Elie","Elie Okobo","Okobo","0","0","3500","POR@PHO","PHO","POR","","","","",""
"28835-23248","SG","RJ","RJ Hunter","Hunter","7.3","5","3500","ATL@MEM","ATL","MEM","","","","",""
"28835-58576","PF","Kevon","Kevon Looney","Looney","12.530303030303031","66","3500","SAC@GS","GS","SAC","","","","",""
"28835-84689","SG","Josh","Josh Okogie","Okogie","0","0","3500","OKC@MIN","MIN","OKC","","","","",""
"28835-84688","SF","Keita","Keita Bates-Diop","Bates-Diop","0","0","3500","OKC@MIN","MIN","OKC","","","","",""
"28835-9940","SF","Dante","Dante Cunningham","Cunningham","13.967122953232021","73","3500","DET@SA","SA","DET","","","","",""
"28835-14549","PF","Lavoy","Lavoy Allen","Allen","10.201639144147029","61","3500","MIA@WAS","WAS","MIA","","","","",""
"28835-84694","SG","Bruce","Bruce Brown","Brown","0","0","3500","DET@SA","DET","SA","","","","",""
"28835-84697","SF","Jacob","Jacob Evans","Evans","0","0","3500","SAC@GS","GS","SAC","","","","",""
"28835-84696","PG","Jevon","Jevon Carter","Carter","0","0","3500","ATL@MEM","MEM","ATL","","","","",""
"28835-84699","SG","Hamidou","Hamidou Diallo","Diallo","0","0","3500","OKC@MIN","OKC","MIN","","","","",""
"28835-23772","PG","Yogi","Yogi Ferrell","Ferrell","19.259756693025913","82","3500","SAC@GS","SAC","GS","O","Thumb","","",""
"28835-84701","PF","Chimezie","Chimezie Metu","Metu","0","0","3500","DET@SA","SA","DET","","","","",""
"28835-15582","PG","Quinn","Quinn Cook","Cook","16.69394013375947","33","3500","SAC@GS","GS","SAC","","","","",""
"28835-84705","PF","Omari","Omari Spellman","Spellman","0","0","3500","ATL@MEM","ATL","MEM","","","","",""
"28835-9953","C","Ian","Ian Mahinmi","Mahinmi","12.4532470703125","77","3500","MIA@WAS","WAS","MIA","","","","",""
"28835-58081","PG","Tyus","Tyus Jones","Jones","14.224390541634909","82","3500","OKC@MIN","MIN","OKC","","","","",""
"28835-23780","SF","Jake","Jake Layman","Layman","2.785294027889476","34","3500","POR@PHO","POR","PHO","","","","",""
"28835-15591","C","Miles","Miles Plumlee","Plumlee","11.929090465198863","55","3500","ATL@MEM","ATL","MEM","","","","",""
"28835-9960","SF","Omri","Omri Casspi","Casspi","13.028301886792454","53","3500","ATL@MEM","MEM","ATL","","","","",""
"28835-9962","PF","Jonas","Jonas Jerebko","Jerebko","11.732432597392314","74","3500","SAC@GS","GS","SAC","","","","",""
"28835-23788","PG","Bryn","Bryn Forbes","Forbes","10.75","80","3500","DET@SA","SA","DET","","","","",""
"28835-84717","SG","Anfernee","Anfernee Simons","Simons","0","0","3500","POR@PHO","POR","PHO","","","","",""
"28835-9454","C","Zaza","Zaza Pachulia","Pachulia","14.691304524739584","69","3500","DET@SA","DET","SA","","","","",""
"28835-9968","SG","Jodie","Jodie Meeks","Meeks","10.457143015675731","77","3500","MIA@WAS","WAS","MIA","O","Suspension","","",""
"28835-67312","C","Thomas","Thomas Bryant","Bryant","3.8933334350585938","15","3500","MIA@WAS","WAS","MIA","","","","",""
"28835-85238","SF","Yuta","Yuta Watanabe","Watanabe","0","0","3500","ATL@MEM","MEM","ATL","","","","",""
"28835-23800","SF","Glenn","Glenn Robinson III","Robinson III","8.778260604194973","23","3500","DET@SA","DET","SA","","","","",""
"28835-23801","SG","Nik","Nik Stauskas","Stauskas","8.0317070193407","41","3500","POR@PHO","POR","PHO","","","","",""
"28835-97018","PG","Chris","Chris Chiozza","Chiozza","0","0","3500","MIA@WAS","WAS","MIA","","","","",""
"28835-23294","SF","Danuel","Danuel House","House","13.421739661175272","23","3500","SAC@GS","GS","SAC","","","","",""
"28835-23810","SF","Jaron","Jaron Blossomgame","Blossomgame","0","0","3500","DET@SA","SA","DET","","","","",""
"28835-15620","SF","Okaro","Okaro White","White","6.866666793823242","6","3500","DET@SA","SA","DET","","","","",""
"28835-9483","C","Joakim","Joakim Noah","Noah","6.114285605294364","7","3500","NO@NY","NY","NO","","","","",""
"28835-19726","SF","Abdel","Abdel Nader","Nader","6.483333587646484","48","3500","OKC@MIN","OKC","MIN","O","Knee","","",""
"28835-40206","SG","Alex","Alex Abrines","Abrines","8.597333170572917","75","3500","OKC@MIN","OKC","MIN","","","","",""
"28835-23826","PF","Alex","Alex Poythress","Poythress","2.3760000610351564","25","3500","ATL@MEM","ATL","MEM","","","","",""
"28835-85290","SG","Garlon","Garlon Green","Green","0","0","3500","NO@NY","NO","NY","","","","",""
